id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
520915,Biggies Burger,"Arekere,Bangalore",4.5,50,300,"American,Beverages",license,https://www.swiggy.com/restaurants/biggies-burger-arekere-bangalore-520915,"Biggies Burger, Ajantha Komforts, 1st Floor, 45/46, Puttenahalli Road, Puttenahalli, 7th Phase, J P Nagar, Bangalore, BTM Layout, B.B.M.P South, Karnataka",Menu/520915.json
448681,Urban Curries,"Arekere,Bangalore",4,50,250,"North Indian,Desserts",2.12E+13,https://www.swiggy.com/restaurants/urban-curries-btm-bangalore-448681,"Urban Curries, NO. 104/1 OFF BANNERGHATTA ROAD DEVARACHIKKANAHALLI ROAD BILEKAHALLI , BTM Layout , B.B.M.P South, Karnataka-560076",Menu/448681.json
154027,Artinci - Indulge Guilt Free!,"Arekere,Bangalore",4.4,100,200,"Ice Cream,Healthy Food",2.12E+13,https://www.swiggy.com/restaurants/artinci-indulge-guilt-free-rbi-layout-j-p-nagar-bangalore-154027,"Artinci - Indulge Guilt Free!, No 02,Pai Layout, Hulimavu, Drunken Monkey, Bangalore, Bommanahalli , B.B.M.P South, Karnataka",Menu/154027.json
324828,Nadan Pothichoru,"Arekere,Bangalore",3.8,50,200,"South Indian,Kerala",license,https://www.swiggy.com/restaurants/nadan-pothichoru-arekere-j-p-nagar-bangalore-324828,"Nadan Pothichoru, 1260 Survey 35 4 SJR Tower s 7th Phase  24th Main Puttanhalli  JP Nagar  Bangalore 560078",Menu/324828.json
330269,The Desi Cafe,"Arekere,Bangalore",3.8,20,300,"North Indian,Chinese",1.12E+13,https://www.swiggy.com/restaurants/the-desi-cafe-arekere-hongasandra-bangalore-330269,"The Desi Cafe, Shop No8, Ground Floor, FGH, Salarpuriya Greenage, Bommanhalli, Hosur Road - 560068",Menu/330269.json
56396,BIB - English Breakfast in The Box,"Arekere,Bangalore",4.1,100,350,American,2.12E+13,https://www.swiggy.com/restaurants/bib-english-breakfast-in-the-box-iim-post-arekere-bangalore-56396,"BIB - English Breakfast in The Box,  #9, Chamundeshwari Layout,  Arekere, Bengaluru, Karnataka 560076",Menu/56396.json
329283,THE PAROTTA COMBO,"Arekere,Bangalore",3.2,20,250,"North Indian,Punjabi",1.12E+13,https://www.swiggy.com/restaurants/the-parotta-combo-arekere-j-p-nagar-bangalore-329283,"THE PAROTTA COMBO, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Menu/329283.json
49490,S Square multicusine restaurant.,"Arekere,Bangalore",3.5,50,250,"Kerala,Seafood",1.12E+13,https://www.swiggy.com/restaurants/s-square-multicusine-restaurant-hulimavu-bangalore-49490,"S Square multicusine restaurant., #33 & 34,8th cross,mutharayaswamy layout,Hulimavu,Bannerghatta Road,Bangalore-560076",Menu/49490.json
395350,McDonald's Gourmet Burger Collection,"Arekere,Bangalore",4,20,600,"Burgers,Beverages",1.12E+13,https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-akshaya-nagar-arekere-bangalore-395350,"McDonald's Gourmet Burger Collection, Hardcastle Restaurants Pvt Ltd, McDonald's Family Restaurants,No 8,Kukke Plaza, 80 Feet Road, Nyanappana Halli,Akshaya nagar, Begur Hobli, DLF New Town Main road, Next to SLV Wines, Bangalore ? 560068",Menu/395350.json
38596,Cakebuy,"Arekere,Bangalore",4.2,100,400,"Desserts,Bakery",2.12E+13,https://www.swiggy.com/restaurants/cakebuy-billekahalli-bilekahalli-bangalore-38596,"Cakebuy, 1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Off Bannerghatta Road, Bangalore",Menu/38596.json
361382,Kwality Walls Frozen Dessert and Ice Cream Shop,"Arekere,Bangalore",4.1,20,400,Ice Cream,2.12E+13,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-doddakamanahalli-main-road-arekere-bangalore-361382,"Kwality Walls Frozen Dessert and Ice Cream Shop, 68 sataya soubhagya 1st main nobel residency road opposite laxmi tower",Menu/361382.json
27118,Burger King,"Arekere,Bangalore",4.1,1,350,"American,Fast Food",1.12E+13,https://www.swiggy.com/restaurants/burger-king-opposite-meenakshi-temple-hulimavu-bangalore-27118,"Burger King, Unit No-T001B & T007, Royal Meenakasi Mall, 3rd Floor, Opp. Meenakshi Temple, Hulimavu, Bannerghatta Road, Bangalore-560076",Menu/27118.json
186069,The Biryani Life,"Arekere,Bangalore",3.9,50,250,"Biryani,Hyderabadi",1.12E+13,https://www.swiggy.com/restaurants/the-biryani-life-main-road-arekere-bangalore-186069,"The Biryani Life, No. 161, 161-A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore - 560076.",Menu/186069.json
504589,CORNER HOUSE ICE CREAMS,"Arekere,Bangalore",4.6,50,250,"Ice Cream,Desserts",1.12E+13,https://www.swiggy.com/restaurants/corner-house-ice-creams-arekere-bangalore-504589,"CORNER HOUSE ICE CREAMS, ""#64, SATYA SAI, 4TH CROSS, ROAD, PANDURANGANAGAR, DORESANIPALYA WARD, BANGALORE-560076",Menu/504589.json
154381,UDUPI VEG,"Arekere,Bangalore",4.4,500,200,South Indian,2.12E+13,https://www.swiggy.com/restaurants/udupi-veg-mico-layout-arekere-bangalore-154381,"UDUPI VEG, NO.284, NEAR AREKERE BUS STOP, MICO LAYOUT, 1st STAGE, J.P NAGAR, BANGALORE, District - B.B.M.P South, STATE - Karnataka",Menu/154381.json
